Unnamed: 0,searchq,date,T_flag,cart,click,seen,Unique_session_id,Unique_session_id_clicked,new_interval,Clickrate,Clickrate_total
177.0,3second,2021-09-24,3,0,0,0,0,0,2021-09-24 03:00:00,0.0,0.0
178.0,3second,2021-09-24,6,0,0,0,0,0,2021-09-24 06:00:00,0.0,0.0
179.0,3second,2021-09-24,9,0,0,156,3,0,2021-09-24 09:00:00,0.0,0.0
180.0,3second,2021-09-24,12,0,5,144,4,3,2021-09-24 12:00:00,75.0,3.47
181.0,3second,2021-09-24,15,0,1,160,4,1,2021-09-24 15:00:00,25.0,0.62
182.0,3second,2021-09-24,18,0,0,48,2,0,2021-09-24 18:00:00,0.0,0.0
183.0,3second,2021-09-24,21,0,9,256,7,4,2021-09-24 21:00:00,57.14,3.52
184.0,3second,2021-09-25,0,0,4,176,4,3,2021-09-25 00:00:00,75.0,2.27
185.0,3second,2021-09-25,3,0,1,64,3,1,2021-09-25 03:00:00,33.33,1.56
186.0,3second,2021-09-25,6,0,0,48,3,0,2021-09-25 06:00:00,0.0,0.0
187.0,3second,2021-09-25,9,0,0,0,0,0,2021-09-25 09:00:00,0.0,0.0
188.0,3second,2021-09-25,12,0,1,32,2,1,2021-09-25 12:00:00,50.0,3.12
189.0,3second,2021-09-25,15,0,1,32,2,1,2021-09-25 15:00:00,50.0,3.12
190.0,3second,2021-09-25,18,0,0,0,0,0,2021-09-25 18:00:00,0.0,0.0
191.0,3second,2021-09-25,21,0,2,96,2,1,2021-09-25 21:00:00,50.0,2.08
192.0,3second,2021-09-26,0,0,0,32,2,0,2021-09-26 00:00:00,0.0,0.0
193.0,3second,2021-09-26,3,0,2,149,2,1,2021-09-26 03:00:00,50.0,1.34
194.0,3second,2021-09-26,6,0,0,0,0,0,2021-09-26 06:00:00,0.0,0.0
195.0,3second,2021-09-26,9,0,2,96,2,2,2021-09-26 09:00:00,100.0,2.08
196.0,3second,2021-09-26,12,0,2,65,4,1,2021-09-26 12:00:00,25.0,3.08
197.0,3second,2021-09-26,15,0,0,0,0,0,2021-09-26 15:00:00,0.0,0.0
198.0,3second,2021-09-26,18,0,0,0,0,0,2021-09-26 18:00:00,0.0,0.0
199.0,3second,2021-09-26,21,0,2,112,4,2,2021-09-26 21:00:00,50.0,1.79
200.0,3second,2021-09-27,0,0,2,176,3,2,2021-09-27 00:00:00,66.67,1.14
201.0,3second,2021-09-27,3,0,0,48,3,0,2021-09-27 03:00:00,0.0,0.0
202.0,3second,2021-09-27,6,0,0,48,2,0,2021-09-27 06:00:00,0.0,0.0
203.0,3second,2021-09-27,9,0,2,32,1,1,2021-09-27 09:00:00,100.0,6.25
204.0,3second,2021-09-27,12,0,0,80,2,0,2021-09-27 12:00:00,0.0,0.0
205.0,3second,2021-09-27,15,0,0,16,1,0,2021-09-27 15:00:00,0.0,0.0
206.0,3second,2021-09-27,18,0,0,32,1,0,2021-09-27 18:00:00,0.0,0.0
207.0,3second,2021-09-27,21,0,0,0,0,0,2021-09-27 21:00:00,0.0,0.0
208.0,3second,2021-09-28,0,0,1,64,3,1,2021-09-28 00:00:00,33.33,1.56
209.0,3second,2021-09-28,3,0,2,48,1,1,2021-09-28 03:00:00,100.0,4.17
210.0,3second,2021-09-28,6,0,0,16,1,0,2021-09-28 06:00:00,0.0,0.0
211.0,3second,2021-09-28,9,0,2,64,3,2,2021-09-28 09:00:00,66.67,3.12
212.0,3second,2021-09-28,12,0,0,83,3,0,2021-09-28 12:00:00,0.0,0.0
213.0,3second,2021-09-28,15,0,1,51,2,1,2021-09-28 15:00:00,50.0,1.96
214.0,3second,2021-09-28,18,0,2,78,2,2,2021-09-28 18:00:00,100.0,2.56
215.0,3second,2021-09-28,21,0,0,0,0,0,2021-09-28 21:00:00,0.0,0.0
216.0,3second,2021-09-29,0,0,0,16,1,0,2021-09-29 00:00:00,0.0,0.0
217.0,3second,2021-09-29,3,0,0,51,2,0,2021-09-29 03:00:00,0.0,0.0
218.0,3second,2021-09-29,6,0,0,0,0,0,2021-09-29 06:00:00,0.0,0.0
219.0,3second,2021-09-29,9,0,4,112,3,3,2021-09-29 09:00:00,100.0,3.57
220.0,3second,2021-09-29,12,0,4,158,6,4,2021-09-29 12:00:00,66.67,2.53
221.0,3second,2021-09-29,15,0,3,182,6,3,2021-09-29 15:00:00,50.0,1.65
222.0,3second,2021-09-29,18,0,2,48,3,2,2021-09-29 18:00:00,66.67,4.17
223.0,3second,2021-09-29,21,0,0,0,0,0,2021-09-29 21:00:00,0.0,0.0
224.0,3second,2021-09-30,0,0,0,0,0,0,2021-09-30 00:00:00,0.0,0.0
225.0,3second,2021-09-30,3,0,0,0,0,0,2021-09-30 03:00:00,0.0,0.0
226.0,3second,2021-09-30,6,0,0,56,2,0,2021-09-30 06:00:00,0.0,0.0
227.0,3second,2021-09-30,9,0,0,0,0,0,2021-09-30 09:00:00,0.0,0.0
228.0,3second,2021-09-30,12,0,1,198,4,1,2021-09-30 12:00:00,25.0,0.51
229.0,3second,2021-09-30,15,0,0,0,0,0,2021-09-30 15:00:00,0.0,0.0
230.0,3second,2021-09-30,18,0,0,0,0,0,2021-09-30 18:00:00,0.0,0.0
231.0,3second,2021-09-30,21,0,0,0,0,0,2021-09-30 21:00:00,0.0,0.0
232.0,3second,2021-10-13,0,0,0,0,0,0,2021-10-13 00:00:00,0.0,0.0
233.0,3second,2021-10-13,3,0,0,0,0,0,2021-10-13 03:00:00,0.0,0.0
234.0,3second,2021-10-13,6,0,0,0,0,0,2021-10-13 06:00:00,0.0,0.0
235.0,3second,2021-10-13,9,0,0,0,0,0,2021-10-13 09:00:00,0.0,0.0
236.0,3second,2021-10-13,12,0,0,0,0,0,2021-10-13 12:00:00,0.0,0.0
237.0,3second,2021-10-13,15,0,0,0,0,0,2021-10-13 15:00:00,0.0,0.0
238.0,3second,2021-10-13,18,0,1,16,1,1,2021-10-13 18:00:00,100.0,6.25
239.0,3second,2021-10-13,21,0,7,107,3,1,2021-10-13 21:00:00,33.33,6.54
240.0,3second,2021-10-14,0,0,0,0,0,0,2021-10-14 00:00:00,0.0,0.0
241.0,3second,2021-10-14,3,0,0,32,1,0,2021-10-14 03:00:00,0.0,0.0
242.0,3second,2021-10-14,6,0,0,0,0,0,2021-10-14 06:00:00,0.0,0.0
243.0,3second,2021-10-14,9,0,16,315,4,2,2021-10-14 09:00:00,50.0,5.08
244.0,3second,2021-10-14,12,0,1,16,1,1,2021-10-14 12:00:00,100.0,6.25
245.0,3second,2021-10-14,15,0,0,16,1,0,2021-10-14 15:00:00,0.0,0.0
246.0,3second,2021-10-14,18,0,0,166,4,0,2021-10-14 18:00:00,0.0,0.0
247.0,3second,2021-10-14,21,0,0,0,0,0,2021-10-14 21:00:00,0.0,0.0
248.0,3second,2021-10-15,0,0,0,0,0,0,2021-10-15 00:00:00,0.0,0.0
249.0,3second,2021-10-15,3,0,6,123,3,2,2021-10-15 03:00:00,66.67,4.88
250.0,3second,2021-10-15,6,0,0,0,0,0,2021-10-15 06:00:00,0.0,0.0
251.0,3second,2021-10-15,9,0,2,59,2,2,2021-10-15 09:00:00,100.0,3.39
252.0,3second,2021-10-15,12,0,0,32,1,0,2021-10-15 12:00:00,0.0,0.0
253.0,3second,2021-10-15,15,0,0,89,1,0,2021-10-15 15:00:00,0.0,0.0
254.0,3second,2021-10-15,18,0,0,0,0,0,2021-10-15 18:00:00,0.0,0.0
255.0,3second,2021-10-15,21,0,0,0,0,0,2021-10-15 21:00:00,0.0,0.0
256.0,3second,2021-10-16,0,0,1,75,2,1,2021-10-16 00:00:00,50.0,1.33
257.0,3second,2021-10-16,3,0,0,0,0,0,2021-10-16 03:00:00,0.0,0.0
258.0,3second,2021-10-16,6,0,0,120,1,0,2021-10-16 06:00:00,0.0,0.0
259.0,3second,2021-10-16,9,0,5,148,3,2,2021-10-16 09:00:00,66.67,3.38
260.0,3second,2021-10-16,12,0,1,16,1,1,2021-10-16 12:00:00,100.0,6.25
261.0,3second,2021-10-16,15,0,0,59,1,0,2021-10-16 15:00:00,0.0,0.0
262.0,3second,2021-10-16,18,0,1,48,2,1,2021-10-16 18:00:00,50.0,2.08
263.0,3second,2021-10-16,21,0,0,0,0,0,2021-10-16 21:00:00,0.0,0.0
264.0,3second,2021-10-17,0,0,0,16,1,0,2021-10-17 00:00:00,0.0,0.0
265.0,3second,2021-10-17,3,0,1,59,2,1,2021-10-17 03:00:00,50.0,1.69
